"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Richfield1    Title: Behavioral, neurochemical, neuroanatomical, and neurotoxicological survey of the midbrain dopamine system in males of 15 inbred strains of mice    Year: 2003",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Richfield1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,age,horiz1,horiz2,horiz3,amb1,amb2,amb3,vert1,vert2,vert3,horiz_aver,horiz_total,horiz_rate,horiz_short_habit,horiz_long_habit,amb_aver,amb_total,amb_rate,amb_short_habit,amb_long_habit,vert_aver,vert_total,vert_rate,vert_short_habit,vert_long_habit,age_sac,DA,DOPAC,HVA,5HT,DA_turnover1,DA_turnover2
MRL/MpJ,m,29,9,9811,11065,11365,6845,7818,8053,,,,10747,32241,239,-1.77,777,7572,22716,168,-1.41,604,,,,,,93,342,31.5,40.4,15.9,9.20,21.1
MRL/MpJ,m,34,9,6466,2665,2301,4467,1470,985,,,,3811,11432,84.7,-6.92,-2082,2307,6922,51.3,-4.23,-1741,,,,,,94,403,38.5,48.3,20,9.50,21.5
MRL/MpJ,m,50,9,5970,2579,2533,3857,1480,1554,,,,3694,11082,82.1,-16.1,-1718,2297,6891,51,-10.5,-1152,,,,,,94,187,15.5,21.7,9.90,8.30,19.9
MRL/MpJ,m,58,9,8679,6201,4477,5978,3561,2512,,,,6452,19357,143,-1.38,-2101,4017,12051,89.3,-1.22,-1733,,,,,,94,166,12.6,20.2,10.6,7.60,19.8
MRL/MpJ,m,61,9,8046,7045,4426,5472,4476,2432,373,273,138,6506,19517,145,-7.56,-1810,4127,12380,91.7,-4.79,-1520,261,784,5.80,-0.220,-118,94,95.9,8.70,11.5,7.10,9.10,21.1
MRL/MpJ,m,72,9,9681,6043,6270,6642,3755,3783,305,133,215,7331,21994,163,-10.7,-1706,4727,14180,105,-8.45,-1430,218,653,4.80,-0.780,-45,95,172,17.5,23.9,10.5,10.1,24
MRL/MpJ,m,86,9,8119,10467,9629,5510,7276,6393,504,606,726,9405,28215,209,-1.90,755,6393,19179,142,-1.95,442,612,1836,13.6,-0.280,111,95,162,12.3,19,9.60,7.60,19.3
MRL/MpJ,m,109,9,3779,6593,4918,2344,4228,2877,,,,5097,15290,113,-11.3,570,3150,9449,70,-9.13,266,,,,,,95,147,11.2,16.1,8.10,7.60,18.5
NZB/BlNJ,m,113,9,5435,3481,2518,3370,1974,1343,423,237,305,3811,11434,84.7,-8.54,-1458,2229,6687,49.5,-4.89,-1014,322,965,7.10,-0.430,-59,77,119,16.8,7.40,6.40,14.1,20.4
NZB/BlNJ,m,118,9,3475,3196,4015,2276,1761,2203,61,117,102,3562,10686,79.2,-15.8,270,2080,6240,46.2,-11.1,-36.5,93,280,2.10,-0.340,20.5,77,122,15.1,6.70,7.20,12.3,17.8
NZB/BlNJ,m,122,9,4405,3542,3546,4119,2670,2768,120,107,87,3831,11493,85.1,-3.87,-430,3186,9557,70.8,-4.33,-676,105,314,2.30,-0.0600,-16.5,77,80,13.1,5.90,3.70,16.3,23.7
NZB/BlNJ,m,128,9,3401,1893,2160,2206,980,1413,122,76,83,2485,7454,55.2,-9.82,-620,1533,4599,34.1,-7.18,-396,94,281,2.10,-0.320,-19.5,77,64.1,12.7,6.30,4.60,19.9,29.7
NZB/BlNJ,m,136,9,2493,679,1124,1667,277,314,123,37,26,1432,4296,31.8,-5.68,-684,753,2258,16.7,-2.22,-676,62,186,1.40,-0.190,-48.5,77,65.8,11.5,5.30,4.50,17.5,25.5
NZB/BlNJ,m,139,9,4292,1922,1390,2910,1120,891,89,69,43,2535,7604,56.3,-9.21,-1451,1640,4921,36.5,-6.10,-1010,67,201,1.50,-0.330,-23,77,102,10.9,5.70,8.80,10.7,16.3
NZB/BlNJ,m,144,9,6989,4275,3195,5061,2654,2190,213,138,213,4820,14459,107,-10.3,-1897,3302,9905,73.4,-7.69,-1436,188,564,4.20,-0.590,0,77,86.5,8.50,4.60,8.10,9.80,15.1
NZB/BlNJ,m,147,9,3734,2400,2323,2275,1125,1305,128,39,75,2819,8457,62.6,-9.82,-706,1568,4705,34.9,-6.39,-485,81,242,1.80,-0.240,-26.5,77,96.3,8.50,5.70,12.3,8.80,14.7
NZB/BlNJ,m,156,9,3405,1450,2976,2456,965,2107,134,68,153,2610,7831,58,-13.9,-214,1843,5528,40.9,-10.6,-174,118,355,2.60,-0.780,9.50,77,121,12.8,6.70,10.5,10.6,16.2
NZB/BlNJ,m,157,9,3526,1730,1435,2097,999,882,154,77,35,2230,6691,49.6,-9.19,-1046,1326,3978,29.5,-6.18,-608,89,266,2,-0.240,-59.5,77,96.5,9.10,4.80,7.70,9.40,14.4
NZW/LacJ,m,15,7,6489,4086,3085,5602,3332,2466,398,237,182,4553,13660,101,-13.2,-1702,3800,11400,84.4,-12.1,-1568,272,817,6.10,-0.830,-108,77,270,26.2,32.1,14.1,9.70,21.6
NZW/LacJ,m,21,7,5641,5364,5091,3719,3450,3243,400,281,267,5365,16096,119,-9.30,-275,3471,10412,77.1,-6.90,-238,316,948,7,-0.480,-66.5,77,191,19.8,27.6,15.3,10.4,24.8
NZW/LacJ,m,33,7,4359,3446,3052,2792,2147,1905,280,227,176,3619,10857,80.4,-12.7,-654,2281,6844,50.7,-9.63,-444,228,683,5.10,-0.920,-52,78,311,38.2,46.9,19.2,12.3,27.4
NZW/LacJ,m,46,7,4477,5809,5200,2879,3864,2912,312,307,287,5162,15486,115,-15.8,362,3218,9655,71.5,-11.9,16.5,302,906,6.70,-1.38,-12.5,78,135,11.1,15.7,7.10,8.20,19.9
NZW/LacJ,m,52,7,5369,4597,4112,3407,2762,2664,201,175,204,4693,14078,104,-2.30,-628,2944,8833,65.4,-2.04,-372,193,580,4.30,-0.0900,1.50,78,212,15.8,21.9,10.8,7.50,17.8
NZW/LacJ,m,67,7,5454,3765,4372,3592,1991,2534,,,,4530,13591,101,-5.18,-541,2706,8117,60.1,-4.08,-529,,,,,,78,134,13.6,16,8.80,10.2,22.1
NZW/LacJ,m,73,7,7002,5190,3520,4852,3552,2090,388,338,202,5237,15712,116,-7.60,-1741,3498,10494,77.7,-6.55,-1381,309,928,6.90,-0.500,-93,79,151,17.8,18.5,8.90,11.8,24.1
NZW/LacJ,m,85,7,5141,5193,3928,4448,4666,3441,292,318,243,4754,14262,106,-3.57,-606,4185,12555,93,-3.82,-504,284,853,6.30,-0.190,-24.5,79,208,17.1,22.1,10,8.20,18.8
NZW/LacJ,m,95,7,5721,5004,4186,5203,4584,2974,212,305,227,4970,14911,110,-12.4,-768,4254,12761,94.5,-12.1,-1114,248,744,5.50,-0.820,7.50,79,117,13.9,14.2,8,11.9,24
NZW/LacJ,m,102,7,7535,7100,7652,5087,4677,4935,230,237,175,7429,22287,165,-24.7,58.5,4900,14699,109,-19.5,-76,214,642,4.80,-0.620,-27.5,79,126,9.50,15.1,8.10,7.50,19.5
SPRET/EiJ,m,114,7,5234,3794,1576,4294,3206,1140,79,85,25,3535,10604,78.5,-3.64,-1829,2880,8640,64,-2.06,-1577,63,189,1.40,0.0600,-27,68,106,14,4.10,13.4,13.2,17.1
SPRET/EiJ,m,117,7,3478,2227,1171,2189,1388,395,96,97,18,2292,6876,50.9,-3.60,-1154,1324,3972,29.4,-2.12,-897,70,211,1.60,-0.0800,-39,68,121,17.5,5.90,12.9,14.4,19.3
SPRET/EiJ,m,127,7,1798,1195,1215,1067,610,722,62,55,34,1403,4208,31.2,4.11,-292,800,2399,17.8,3.31,-172,50,151,1.10,0.160,-14,68,143,17.1,5.80,11.8,12,16
SPRET/EiJ,m,131,7,2562,2108,1337,1555,936,587,88,52,44,2002,6007,44.5,-5.40,-612,1026,3078,22.8,-3.13,-484,61,184,1.40,-0.290,-22,68,76.7,9.30,3.40,12.4,12.1,16.5
SPRET/EiJ,m,138,7,3033,1026,1258,1935,425,736,60,17,24,1772,5317,39.4,-7.74,-888,1032,3096,22.9,-5.15,-600,34,101,0.700,-0.190,-18,68,111,27.5,6.40,8.90,24.8,30.5
SPRET/EiJ,m,142,7,3292,2355,1445,2221,1367,671,104,54,22,2364,7092,52.5,-7.38,-924,1420,4259,31.5,-4.21,-775,60,180,1.30,-0.160,-41,68,107,9.30,3.50,10.7,8.70,12
SPRET/EiJ,m,148,7,2325,1052,427,1507,388,40,24,14,0,1268,3804,28.2,-1.16,-949,645,1935,14.3,-0.130,-734,13,38,0.300,0,-12,68,114,17.6,5.40,15.4,15.4,20.1
SPRET/EiJ,m,150,7,2623,1160,815,1601,674,396,75,44,35,1533,4598,34.1,-4.30,-904,890,2671,19.8,-2.27,-602,51,154,1.10,-0.260,-20,68,97.1,12.1,4.40,19,12.4,17
SPRET/EiJ,m,158,7,1742,945,823,1148,369,305,115,49,122,1170,3510,26,-4.37,-460,607,1822,13.5,-1.96,-422,95,286,2.10,-0.430,3.50,68,99.3,13.7,4.20,8.60,13.8,18.1
