"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Willott1    Title: Startle and prepulse inhibition survey of 40 inbred strains of mice    Year: 2002",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Willott1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,round,bw,PPI_4,PPI_12,PPI_20,PPI_tot,ASR_70,ASR_80,ASR_90,ASR_100,ASR_latency,ASR_habituation
AKR/J,m,P35,all,26.4,1.0645,0.3385,0.599,2.005,51.7,285,779,524.5,27.5,0.279
AKR/J,m,P36,all,25.4,0.6985,0.375,0.337,1.41,66.35,131,399,461.5,28.25,2.070
AKR/J,m,P37,all,27.4,0.5985,0.2265,0.1835,1.0095,88.65,138,601.5,911.5,25.2,0.763
AKR/J,m,P38,all,26,0.701,0.302,0.317,1.3175,123.5,216.5,745,555,25.25,1.610
AKR/J,m,P39,all,24.4,0.74,0.464,0.404,1.605,130.15,519.5,901,641,26.5,0.862
AKR/J,m,P40,all,24.3,0.4465,0.3375,0.325,1.1085,75.15,95.85,451,465,25.35,2.105
BALB/cJ,f,F71,all,,1.275,0.639,0.6185,2.535,99.15,216.5,535,315,29.9,1.553
BALB/cJ,f,F72,all,,1.255,0.947,0.5365,2.74,159.5,386.5,556,829.5,25.15,1.984
BALB/cJ,f,F73,all,,0.5745,0.4855,0.345,1.405,213.5,239.5,523.5,656.5,26.8,0.730
BALB/cJ,f,F74,all,,0.794,0.621,0.6565,2.07,115.65,167.5,402.5,398,31.05,0.926
BALB/cJ,f,F75,all,,0.521,0.427,0.5235,1.47,102,214.5,459,616.5,30.05,0.357
BALB/cJ,f,F76,all,,0.923,0.736,0.689,2.35,158,338.5,802,789.5,29.35,0.877
BALB/cJ,f,F77,all,,0.734,0.479,0.6455,1.855,124.5,304.5,589,523,27.2,1.587
BALB/cJ,f,F78,all,,0.739,0.6655,0.53,1.935,100.35,574.5,565,1054,29.1,1.208
BALB/cJ,f,P382,all,17.8,1.1305,0.819,0.895,2.845,72.8,216.5,266,293.5,40.45,0.877
BALB/cJ,f,P383,all,17.8,0.5325,0.737,0.5675,1.835,95.5,217.15,661.5,416.5,23.1,0.532
BALB/cJ,f,P384,all,19.8,0.545,0.244,0.234,1.0235,76.7,721,1005.5,1379.5,21.4,0.806
BALB/cJ,f,P385,all,17.6,0.556,0.305,0.325,1.185,217.5,275.5,424,896.5,22.6,1.091
BALB/cJ,f,P386,all,20,0.493,0.633,0.7655,1.89,159.35,370.85,606.5,769,24.25,0.794
BALB/cJ,f,P387,all,21,0.7985,0.4335,0.423,1.655,78.85,98.35,238,331,22.95,1.222
BALB/cJ,f,P388,all,16.9,0.7305,0.6535,0.62,2.005,128.35,306,776,628.5,25.1,0.235
BALB/cJ,f,P389,all,18.5,0.511,0.4115,0.4385,1.36,126.85,309.5,547,767.5,22.65,0.465
BALB/cJ,f,P390,all,19.9,0.7775,0.3915,0.4475,1.615,152.5,467,455.5,662.5,23.45,0.321
BALB/cJ,f,P391,all,21.1,0.789,0.4465,0.591,1.83,185,417.5,444,715,26.05,0.524
BALB/cJ,m,F63,all,,0.7165,0.271,0.3275,1.315,295,383,549.5,955,32.05,0.909
BALB/cJ,m,F64,all,,0.8715,0.577,0.6,2.045,99.85,458,691.5,891.5,30.65,0.402
BALB/cJ,m,F65,all,,1.38,0.3985,0.8375,2.62,122,255.5,606.5,629.5,31.45,0.588
BALB/cJ,m,F66,all,,0.7995,0.459,0.318,1.575,171,352,682,611.5,30.6,0.971
BALB/cJ,m,F67,all,,0.883,0.608,0.407,1.9,149,339.5,279.5,483,27.2,0.581
BALB/cJ,m,F68,all,,0.929,0.5665,0.501,2,154.5,543.5,809.5,732.5,31.65,1.328
BALB/cJ,m,F69,all,,0.706,0.496,0.544,1.75,679,449,1680.5,1904.5,31.25,1.073
BALB/cJ,m,F70,all,,0.7005,0.6815,0.569,1.95,101.85,284,578.5,1055,34.2,1.403
BALB/cJ,m,P248,all,23,0.837,0.9845,0.4995,2.32,100,304,623.5,349,25.75,1.575
BALB/cJ,m,P253,all,22.8,0.669,0.594,0.5975,1.86,134.65,491,757.5,551.5,21.4,0.602
"BTBR T+ tf/J",f,P447,all,30.7,0.4345,0.379,0.3625,1.175,59.3,58.85,174,315,21.45,0.324
"BTBR T+ tf/J",f,P448,all,24.2,0.75,0.672,0.475,1.895,68.8,101.15,247.5,221,25.15,1.016
"BTBR T+ tf/J",f,P449,all,23.8,0.3285,0.2785,0.2495,0.856,58.7,74.5,96.5,296,20.7,0.535
"BTBR T+ tf/J",f,P450,all,23.2,1.0275,0.911,0.558,2.5,60.15,85.65,126,124,33.7,1.364
"BTBR T+ tf/J",f,P451,all,22.6,0.993,0.9855,0.968,2.95,87.15,192.5,132.15,139.5,29.55,1.300
"BTBR T+ tf/J",f,P452,all,22..4,0.9965,0.7965,0.635,2.425,60.35,78.3,118.5,119.35,31.9,0.917
"BTBR T+ tf/J",f,P453,all,22,0.4935,0.4875,0.3665,1.35,46.5,82.65,146.5,175,25.7,0.526
"BTBR T+ tf/J",f,P454,all,23.7,0.598,0.3895,0.336,1.325,72.35,159.5,238.5,239.5,28.05,0.592
"BTBR T+ tf/J",f,P455,all,21.2,0.656,0.7525,0.6555,2.065,68.65,123.85,170,143.5,35.35,1.504
"BTBR T+ tf/J",f,P456,all,28.8,0.702,0.515,0.606,1.825,126,72.5,244,183.5,25.9,1.709
"BTBR T+ tf/J",m,P457,all,27.1,0.4255,0.454,0.4065,1.2875,58.8,295,556.5,325.5,33.85,0.515
"BTBR T+ tf/J",m,P458,all,28.1,0.633,0.515,0.293,1.44,83.65,172,316.5,385,23.4,0.427
"BTBR T+ tf/J",m,P459,all,22.1,0.7605,0.1915,0.199,1.15,76,69.35,518.5,516,26.85,0.769
"BTBR T+ tf/J",m,P460,all,32.1,0.8195,0.676,0.78,2.275,78.65,68.65,119.5,125.5,38.15,1.511
"BTBR T+ tf/J",m,P461,all,30.2,0.6075,0.4025,0.5325,1.54,82.85,107,161.15,192,36.5,0.917
"BTBR T+ tf/J",m,P462,all,32.1,0.688,0.464,0.474,1.6275,78.65,126.5,337,315.5,26.2,0.833
"BTBR T+ tf/J",m,P463,all,30.4,0.7605,0.4485,0.655,1.86,80,168.5,138.35,219,30.25,1.096
"BTBR T+ tf/J",m,P464,B,30.2,0.435,0.375,0.388,1.20,47.7,126,82.3,228,31.7,1.078
"BTBR T+ tf/J",m,P465,all,30.4,0.4715,0.789,0.59,1.85,56.8,111.15,426,251.5,26.9,0.621
"BTBR T+ tf/J",m,P466,all,26.3,0.935,0.8505,1.0355,2.82,131.65,100.65,163,128,36.85,0.813
BUB/BnJ,f,P352,A,15.8,0.934,0.354,0.621,1.91,217,422,321,662,22.3,0.637
BUB/BnJ,f,P353,all,22.2,1.1545,0.45,0.3205,1.925,64.5,288,581,1052,19.85,0.917
BUB/BnJ,f,P354,all,19.2,0.7365,0.2625,0.719,1.72,65.5,167,832,937.5,21.2,0.541
BUB/BnJ,f,P355,all,19.3,0.9395,0.563,0.691,2.195,55,471.5,740,1316,22.1,0.990
BUB/BnJ,f,P356,all,19,0.9425,0.5445,0.4105,1.895,51.35,212.85,217.5,868.5,26.9,1.159
BUB/BnJ,f,P357,all,20.1,1.1155,0.514,0.3765,2.01,51.15,373.5,847.5,993.5,23.15,0.552
BUB/BnJ,f,P358,all,20.8,1.2085,0.3665,0.3565,1.93,80.65,178,464.5,974.5,22.95,1.445
BUB/BnJ,f,P359,all,21,0.7955,0.2735,0.317,1.385,43.35,228.5,521,1091.5,24.15,1.264
BUB/BnJ,f,P360,all,19,0.9,0.29,0.2015,1.39,771.5,979,1608,1717,25.25,0.490
