"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Willott1    Title: Startle and prepulse inhibition survey of 40 inbred strains of mice    Year: 2002",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Willott1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,round,bw,PPI_4,PPI_12,PPI_20,PPI_tot,ASR_70,ASR_80,ASR_90,ASR_100,ASR_latency,ASR_habituation
C57BR/cdJ,m,P546,all,18.6,1.14,0.7635,0.9965,2.9,55.35,55.35,45.5,95.3,29.65,1.055
C57BR/cdJ,m,P547,B,19.5,0.622,0.859,0.653,2.13,84,112,97.7,86,45.8,1.027
C57BR/cdJ,m,P548,all,16.9,1.027,1.165,1.0665,3.26,54,45,59,86.15,31.75,1.661
C57BR/cdJ,m,P549,all,15.7,0.792,0.9905,0.543,2.325,70,60.65,117.35,119.35,43.2,0.794
C57BR/cdJ,m,P550,all,22.3,0.966,0.9135,0.501,2.385,46.15,58.7,151.85,178,31.65,1.613
C57BR/cdJ,m,P551,all,20,1.0835,0.9695,1.16,3.215,178.5,97.5,137.85,152.5,38.65,0.971
C57BR/cdJ,m,P552,all,21.8,0.95,0.377,0.65,1.975,50.65,99.15,301,237.5,28.3,0.709
C57BR/cdJ,m,P553,all,26.3,1.2095,0.8105,1.556,3.575,94.5,82,100.35,111.5,36.05,0.261
C57BR/cdJ,m,P554,all,23.3,0.9235,0.618,0.762,2.3,53,66.5,130.85,279.5,35.5,0.990
C57L/J,f,P372,all,18,1.049,1.0975,0.828,2.975,88.35,108.15,108,84.55,27.85,1.453
C57L/J,f,P373,all,18,1.31,0.958,1.325,3.59,66.65,80.8,106,95.3,25.5,0.313
C57L/J,f,P374,all,16.9,1.46,0.7295,1.076,3.26,87.5,63.2,70,128,24.55,3.584
C57L/J,f,P375,all,16.9,0.5205,1.4815,0.5585,2.565,79.65,80.15,87.5,224.5,27.15,0.870
C57L/J,f,P376,all,----,1.05,0.9765,0.8645,2.885,61,86.85,112.15,92.6,24.5,0.457
C57L/J,f,P377,all,----,1.54,0.7395,1.2,3.475,74,71,91,103.45,27.6,4.739
C57L/J,f,P378,all,----,1.525,0.8165,0.75,3.09,85.65,84.3,159.5,156.5,29.9,1.248
C57L/J,f,P379,all,----,0.919,0.925,0.8815,2.725,53.3,107.85,63.7,142.3,25.6,0.943
C57L/J,f,P380,all,16.1,0.863,1.3,0.8085,2.975,80.35,61.7,112.65,137.05,26,0.709
C57L/J,f,P381,all,16.7,0.7435,0.937,0.642,2.32,94.85,60.15,123.85,156,27,1.425
C57L/J,m,P362,all,20.4,0.9085,1.008,0.8025,2.72,58.35,118,80,95.65,28.3,0.676
C57L/J,m,P363,all,20.3,0.6995,0.6825,0.784,2.165,82.65,80.5,72.35,118,43.1,0.794
C57L/J,m,P364,all,18.6,0.7475,0.829,0.922,2.495,63.15,80.5,91.5,118.5,27.9,0.253
C57L/J,m,P365,all,20.5,1.146,0.891,0.869,2.905,102.15,68.5,81.2,93.2,27.8,0.885
C57L/J,m,P366,all,19.9,1.922,1.057,1.146,4.125,66,68.5,60.35,96.4,26.85,2.500
C57L/J,m,P367,all,19.4,1.73,2.234,1.2875,5.25,66,58.15,61.15,209,27.9,0.287
C57L/J,m,P368,all,21,0.755,1.037,0.55,2.34,41.5,67.3,80.15,132,28.55,2.242
C57L/J,m,P369,all,20.8,1.2695,1.3415,1.57,4.18,100.85,84.65,58.3,102.45,22.8,2.033
C57L/J,m,P370,all,20.3,0.98,1.2805,0.796,3.05,58.85,88.65,58.15,140.5,27.55,0.685
C57L/J,m,P371,all,19.7,1.515,1.215,1.31,4.04,91,88.65,144.35,98.35,25.1,0.532
C58/J,f,P299,all,16.2,0.492,0.4705,0.382,1.345,76.15,97.65,190,255,20.25,0.658
C58/J,f,P300,all,17.2,0.498,0.575,0.437,1.51,67.15,111,164.5,182,22,0.725
C58/J,f,P301,all,17.7,0.6565,0.289,0.186,1.13,93.3,449,924,645.5,22.5,1.473
C58/J,f,P302,all,16.7,0.372,0.3225,0.2535,0.946,51.85,138.5,372,292.5,19.85,0.543
C58/J,f,P303,all,15.8,0.5555,0.52,0.4975,1.57,85,508,267.5,224,23.55,0.273
C58/J,f,P304,all,20,0.33,0.196,0.1665,0.6925,85,514.5,772.5,820,20.5,0.448
C58/J,f,P305,all,14.4,0.8535,0.7775,0.6295,2.26,64.2,105.85,291,149.5,24.9,1.330
C58/J,f,P306,all,16.9,0.4935,0.339,0.26,1.09,109,205.5,394,478.5,19.85,0.532
C58/J,f,P307,all,17.4,0.2,0.3405,0.2135,0.754,58.5,156,451,539,20.5,1.764
C58/J,f,P308,all,16.3,0.7775,0.542,0.5465,1.865,78,111.35,142.35,217.5,22.95,0.943
C58/J,m,P289,all,20.8,1.165,0.5565,0.369,2.095,117.85,111.5,391,528.5,20.85,1.009
C58/J,m,P290,all,22.1,0.3285,0.1695,0.153,0.651,53,294.5,639,696,19.5,0.541
C58/J,m,P291,all,19.6,0.6295,0.512,0.371,1.512,132.5,113.85,219,449,22.35,0.901
C58/J,m,P292,all,15.3,0.597,0.274,0.1575,1.03,60.35,170,501.5,559.5,19.45,1.038
C58/J,m,P293,all,22.6,0.3985,0.1725,0.174,0.7455,59.8,71.35,382,578,22.95,0.293
C58/J,m,P294,all,19.4,0.3945,0.4295,0.342,1.1675,108.35,248,237.5,354.5,20.3,0.926
C58/J,m,P295,all,19.2,0.5885,0.538,0.7145,1.8375,60.2,80.35,111.65,259,33.65,1.453
C58/J,m,P296,all,22.5,0.682,0.4725,0.4435,1.595,83.7,131.5,165,306,19.8,1.319
C58/J,m,P297,all,18.1,0.7005,0.457,0.5475,1.705,49.85,95,129.65,205,21.2,0.714
C58/J,m,P298,all,18.9,0.203,0.459,0.478,1.1405,41.3,95.5,234.5,368,25.05,0.490
CAST/EiJ,f,F142,all,,1.229,1.4515,0.465,3.15,102,104,172.5,306.5,36.3,0.671
CAST/EiJ,f,F143,all,,0.9115,0.6155,0.433,1.96,46.85,72.35,138,245,31.1,1.256
CAST/EiJ,f,F144,all,,1.16,0.717,0.549,2.43,49.15,56.5,81.35,172.5,36.95,0.671
CAST/EiJ,f,F145,all,,0.5445,0.488,0.581,1.615,61.2,41.65,154.5,325,34.9,1.786
CAST/EiJ,f,F146,all,,0.732,0.8095,0.767,2.31,65.5,92.65,185,207.5,32.1,0.645
CAST/EiJ,f,F147,all,,0.633,0.3955,0.3425,1.37,50.85,59.15,331.5,332.5,29.65,4.854
CAST/EiJ,f,P410,all,11.8,0.803,1.091,0.7635,2.655,59,70.15,143.5,141.5,26.25,1.477
CAST/EiJ,f,P411,all,11.9,0.726,0.7335,0.793,2.25,44.8,115,216,220.5,28.5,1.075
CAST/EiJ,f,P412,all,10,0.9115,0.525,0.726,2.165,62.85,57.15,186.15,158.5,26.9,3.215
CAST/EiJ,f,P416,all,11.2,0.7555,0.725,0.6115,2.095,40.65,42.85,112,219,26.55,0.613
CAST/EiJ,m,F148,all,,0.6685,0.3725,0.8895,1.9295,109.15,295.5,668.5,612.5,31.4,1.188
CAST/EiJ,m,F149,all,,1.3535,1.045,0.8795,3.28,54.65,74.65,68.8,111.1,35.75,1.045
CAST/EiJ,m,F150,all,,1.121,1.0155,0.708,2.845,50.65,54.65,140,158.5,33.05,1.277
CAST/EiJ,m,F151,all,,0.47,0.2625,0.276,1.0075,72.5,78.35,454,686.5,34.8,1.248
CAST/EiJ,m,F152,all,,0.9485,0.945,0.653,2.545,48.5,75.2,133.5,210.5,27.8,1.033
CAST/EiJ,m,F153,all,,0.892,0.676,0.6085,2.18,52,47.65,131.5,224,36.2,0.613
CAST/EiJ,m,F154,all,,0.909,0.6445,0.742,2.295,47.5,50.8,391.5,402.5,37.3,0.826
CAST/EiJ,m,P413,all,12.1,0.6755,0.6935,0.6685,2.04,39.35,70.85,129.35,239.5,29.35,1.103
CAST/EiJ,m,P414,all,13,1.265,0.794,0.5315,2.59,41.3,51,187,149.5,30,0.971
CAST/EiJ,m,P415,all,12,0.7965,0.6035,0.5275,1.93,114.5,78.15,154.5,181.5,31.6,0.917
CBA/J,f,F111,all,,1.261,0.4725,0.475,2.205,63.35,131,630.5,441.5,28.85,0.541
CBA/J,f,F112,all,,0.5175,0.283,0.3905,1.19,69.5,116.5,165,439.5,38.65,0.654
CBA/J,f,F113,all,,0.7035,0.646,0.3745,1.725,82.8,199,326.5,365.5,36.7,1.789
CBA/J,f,F114,all,,0.7835,0.354,0.2775,1.415,127.5,132.5,355.5,647.5,31.05,1.079
CBA/J,f,F115,all,,0.761,0.5385,0.5815,1.88,127,201.5,897,664,26.1,1.773
CBA/J,f,F116,all,,0.5745,0.4095,0.275,1.26,85.5,173.5,330.5,447,30.5,0.877
CBA/J,f,F117,all,,0.563,0.6495,0.613,1.825,84.15,118.5,200.5,452.5,29.75,0.568
CBA/J,f,P467,all,18,0.8075,0.45,0.277,1.5365,57.65,146,482,513,25.35,1.770
CBA/J,f,P468,all,20.9,0.508,0.378,0.3395,1.225,80.15,92.35,211,326,30.7,0.538
CBA/J,m,F118,all,,1.555,1.629,0.6175,3.8,97.65,187,223,300.5,31.5,0.581
CBA/J,m,F119,all,,0.5245,0.335,0.257,1.1175,57.3,79.15,321,548,35.4,1.838
CBA/J,m,F120,all,,0.691,0.4345,0.6825,1.81,52,143.5,169,392.5,31.4,0.581
CBA/J,m,F121,all,,0.623,0.394,0.464,1.4785,77.5,106,863,490.5,30.2,1.093
CBA/J,m,F122,all,,0.7725,0.372,0.7835,1.93,146,139.5,285,643.5,29.9,0.474
CBA/J,m,F123,all,,1.0375,0.5845,0.318,1.94,75.5,206,230.5,633.5,29.7,1.050
CBA/J,m,F124,all,,0.8195,0.3485,0.696,1.86,70.15,509.5,307.5,567,39.15,1.070
CBA/J,m,F125,all,,1.145,0.3515,0.3875,1.885,121,128.5,282.65,451,36.5,0.685
CBA/J,m,P477,all,20.1,0.6215,0.2575,0.312,1.189,119,199.5,502.5,679,28,3.058
CBA/J,m,P478,all,27.1,0.6685,0.234,0.242,1.1445,353.65,1268,1664.5,1793,22,0.909
CE/J,f,P690,all,----,0.8775,0.253,0.2315,1.36,83.8,309,244.5,511.5,24.3,0.565
CE/J,f,P778,all,20,0.581,0.324,0.28,1.183,45.5,151,99.5,239.5,26.7,1.248
CE/J,f,P779,all,20,0.63,0.294,0.2785,1.2025,73.5,443.5,630.5,448,27.25,0.725
CE/J,f,P780,all,20.5,0.6355,0.2875,0.3805,1.305,145.35,307.5,626.5,1071.5,26.95,0.746
CE/J,f,P781,all,22.5,0.765,0.6575,0.515,1.94,107.5,213,395,289,26.95,0.769
CE/J,f,P782,all,20.5,0.5085,0.2525,0.225,0.9865,72.5,312.5,433.5,598.5,24.95,1.263
CE/J,f,P783,all,20.9,0.9155,0.339,0.153,1.41,103.65,174,859,754.5,24.2,0.637
CE/J,f,P784,all,21,0.4705,0.228,0.3145,1.015,97.5,438.35,825.5,775,25.55,1.269
CE/J,f,P796,all,21.5,0.858,0.327,0.353,1.535,43.5,173.5,489,489.5,23.7,2.381
CE/J,f,P797,all,20,0.4615,0.364,0.296,1.125,72.15,161.5,355.5,419.5,21.7,0.303
CE/J,m,P628,all,16.4,0.853,0.189,0.3085,1.35,99.15,316,507.5,617,26.55,1.013
CE/J,m,P629,all,25.1,0.869,0.267,0.284,1.42,85.5,366.5,778,723.5,31.55,1.370
CE/J,m,P630,all,23.8,0.5935,0.3125,0.3345,1.24,93.3,435,711.5,596,28.75,1.049
CE/J,m,P748,all,23.1,1.024,0.298,0.336,1.66,102,347,661,650,27.1,1.203
CE/J,m,P749,all,22.4,0.5455,0.3035,0.3405,1.19,61.15,87.5,552.5,635,34.4,0.448
CE/J,m,P775,all,22,0.7385,0.429,0.2395,1.405,73,223.5,656.5,492,26.55,0.595
CE/J,m,P776,all,22,0.8295,0.2745,0.293,1.395,105.65,339.5,976.5,917.5,26.25,1.013
CE/J,m,P777,all,14.5,0.9715,0.286,0.3505,1.61,109.65,204,498.5,575.5,25.35,0.725
CE/J,m,P798,all,23.5,0.6675,0.408,0.38,1.455,118.5,169,338.5,359.5,27.2,1.429
CE/J,m,P799,all,23.5,0.891,0.226,0.406,1.52,152.85,253.5,916.5,947.5,27.4,1.167
CZECHII/EiJ,f,P258,all,10.5,0.7795,0.7525,0.9675,2.5,60.65,63.65,141,135,23.55,1.751
CZECHII/EiJ,f,P259,all,9.30,0.47,0.5025,0.5,1.475,47.7,94.15,131,176.5,20,1.148
CZECHII/EiJ,f,P260,all,10.7,0.4135,0.2555,0.3775,1.049,73.65,475,609.5,409,20.3,1.236
CZECHII/EiJ,f,P261,all,10.4,0.625,0.6495,0.528,1.8,66.3,107,170,188.5,20,1.456
CZECHII/EiJ,f,P266,all,11.4,0.596,0.701,0.6685,1.97,64.7,238.85,304.5,231.5,22.85,2.012
CZECHII/EiJ,f,P267,all,12.2,0.478,0.41,0.4985,1.385,64.5,235,183,237,20.15,1.506
CZECHII/EiJ,f,P271,all,11,0.848,0.933,0.67,2.455,84.85,65,75,181.5,21.3,1.170
CZECHII/EiJ,f,P275,all,8.80,0.521,0.4115,0.458,1.395,58,159.65,234.5,231,21.4,0.741
CZECHII/EiJ,f,P276,all,10.9,0.4205,0.37,0.316,1.108,79.35,224,406.5,273,22.25,0.855
CZECHII/EiJ,m,P263,all,13.4,0.526,0.4325,0.5995,1.5575,50.65,234,198.5,261.5,24.15,1.245
CZECHII/EiJ,m,P264,all,11.6,0.566,0.5055,0.559,1.63,72.5,183.5,144,200.5,19.75,1.818
CZECHII/EiJ,m,P265,all,13.5,0.497,0.3295,0.465,1.29,52.7,222,192.5,274,19.75,2.717
CZECHII/EiJ,m,P268,all,13.8,0.8095,0.6995,0.7605,2.27,58.8,215,426,278.5,22.5,1.337
CZECHII/EiJ,m,P269,all,13.5,0.499,0.334,0.317,1.149,54,145.65,206.5,347.5,20.1,1.451
CZECHII/EiJ,m,P270,all,11.5,0.506,0.485,0.657,1.65,85,116,163.5,157.5,20.8,0.704
CZECHII/EiJ,m,P272,all,13.9,0.358,0.3985,0.446,1.2,74.5,395.5,255,320,20.75,1.103
CZECHII/EiJ,m,P273,all,13.9,0.455,0.243,0.4265,1.1255,120.85,175,268,429,19.75,0.407
CZECHII/EiJ,m,P274,all,13.3,0.3755,0.446,0.5965,1.415,53,157.15,285,267.5,20.8,2.762
CZECHII/EiJ,m,P277,all,13.9,0.3635,0.519,0.4235,1.305,47.5,165.5,245.5,232,21.55,1.808
CZECHII/EiJ,m,P278,all,13.5,1.1,0.9985,0.9745,3.075,49,51.85,48.65,53.2,20.4,1.016
DBA/2J,f,F39,all,,1.655,1.001,0.898,3.555,56.5,190.5,204.5,190,28.7,0.885
DBA/2J,f,F40,all,,0.7485,0.73,0.961,2.44,46.35,87.5,212.5,192,31.05,1.225
DBA/2J,f,F41,all,,1.04,0.554,0.7735,2.37,107.5,109,165.5,565.5,30,1.808
DBA/2J,f,F42,all,,0.945,1.2095,0.547,2.7,53.5,80,167.85,214.5,33,0.182
DBA/2J,f,F43,all,,0.9055,1.051,0.762,2.72,82.7,71.35,73.35,116.5,30.9,0.599
DBA/2J,f,F44,all,,0.495,0.869,0.6105,1.975,65.2,118.5,164,285.5,30.25,1.244
DBA/2J,f,F45,all,,1.2395,0.8165,0.6015,2.655,63.15,61.35,140.5,172,31.75,0.645
DBA/2J,f,F46,all,,1.39,0.829,1.153,3.37,49.7,37.65,58.5,102.75,36.7,0.398
DBA/2J,f,P198,all,15.9,0.9,0.546,0.418,1.86,253.65,220,152.5,396.5,22.8,0.348
DBA/2J,f,P206,all,15.1,0.697,0.891,0.926,2.515,120.15,51.35,123,133,20.5,0.595
DBA/2J,m,F31,all,,0.667,0.52,0.571,1.76,63.3,95.15,111.35,243,31.15,0.714
DBA/2J,m,F32,all,,1.031,0.5435,0.5355,2.11,47.3,219,154.5,376.5,29.75,1.368
DBA/2J,m,F33,all,,0.68,0.572,0.35,1.605,66.35,175.15,227,737,32.25,0.568
DBA/2J,m,F34,all,,0.979,0.4765,0.418,1.875,49.3,92.85,154.15,260.5,31,0.758
DBA/2J,m,F35,all,,0.7735,0.7795,0.8765,2.43,88.5,135,136.5,263,29.5,1.182
DBA/2J,m,F36,all,,1.126,1.005,1.271,3.4,61.35,73.15,156.5,167.5,30.75,0.546
DBA/2J,m,F37,all,,1.115,0.8255,0.9935,2.935,88.2,58.2,84,67.2,39.95,0.386
DBA/2J,m,F38,all,,0.8955,0.7215,0.7045,2.32,55.8,80.85,72.15,138.5,30.7,0.474
DBA/2J,m,P282,all,17.6,0.7455,0.534,0.3265,1.605,84.35,69.65,280.5,520,21.1,0.268
DBA/2J,m,P287,all,20.5,0.7565,0.7945,0.8275,2.379,121.5,169.5,351.5,419,24.9,0.490
FVB/NJ,f,F126,all,,1.344,0.838,0.5835,2.76,106,220.5,528.5,516,18.22,0.935
FVB/NJ,f,F127,all,,0.476,0.3015,0.2235,1.003,48.15,142,432,779.5,39,0.763
FVB/NJ,f,F128,all,,1.14,0.5275,0.422,2.09,74,194.5,762,938.5,28.45,0.476
FVB/NJ,f,F129,all,,0.6635,0.455,0.34,1.46,73.85,206,648,1269.5,34.8,1.010
FVB/NJ,f,F130,all,,0.767,0.5715,0.376,1.715,95.35,86.15,460.5,574.5,30.25,1.252
FVB/NJ,f,F131,all,,0.957,0.4785,0.496,1.93,113.15,99.15,320.5,592,33.35,1.080
FVB/NJ,f,F132,all,,0.5795,0.353,0.426,1.355,119,215,508,761,33.35,0.714
FVB/NJ,f,F133,all,,1.0355,0.4665,0.373,1.875,75.85,243.5,784,602,27.65,1.565
FVB/NJ,f,P1,all,17.2,0.7825,0.38,0.416,1.58,44.5,177.5,166.65,306,32.7,0.513
FVB/NJ,f,P2,all,16.7,0.8815,0.411,0.369,1.66,63.2,199,346.5,573,26.05,1.131
FVB/NJ,m,F134,all,,0.6845,0.614,0.384,1.68,96.15,258,644.5,851.5,29.1,0.763
FVB/NJ,m,F135,all,,0.868,0.595,0.294,1.755,95,126.85,849,826.5,35.9,0.952
FVB/NJ,m,F136,all,,0.664,0.302,0.332,1.3,99.65,192.5,1248.5,807,30.95,1.927
FVB/NJ,m,F137,all,,0.402,0.3305,0.1735,0.907,102.35,117.15,302.5,812.5,38.1,0.503
FVB/NJ,m,F138,all,,0.917,0.6865,0.8545,2.46,81.35,266,786.5,638.5,28.75,1.745
FVB/NJ,m,F139,all,,0.444,0.333,0.167,0.9425,125.65,254,1144,1263,32.6,0.323
FVB/NJ,m,F140,all,,0.8525,0.571,0.359,1.785,149.15,237.5,535.5,819,31.8,0.526
FVB/NJ,m,F141,all,,1.27,0.414,0.4115,2.095,106.5,80.85,437.5,856.5,33.75,1.290
FVB/NJ,m,P13,all,20.1,0.6525,0.4235,0.396,1.475,142.5,192.5,562.5,399,32.4,0.909
FVB/NJ,m,P15,all,25.8,0.7105,0.4015,0.4855,1.595,92.85,250.5,184.5,306,30.8,1.008
I/LnJ,f,P640,all,16.6,0.448,0.429,0.4105,1.29,139.5,169,585,614,26,1.209
I/LnJ,f,P693,all,17.1,0.7655,0.4615,0.629,1.855,63.65,154,194.5,197.5,25.85,0.820
I/LnJ,f,P694,all,21.6,1.155,0.5005,1.1125,2.77,111.35,114,130,468.5,32.75,1.773
I/LnJ,f,P747,all,16.1,1.05,1.049,0.9815,3.08,67,59.15,78.3,87.4,35.2,0.719
I/LnJ,f,P804,all,21,0.6325,0.4725,0.503,1.61,75.85,122.85,310.5,265.5,22.4,0.226
I/LnJ,f,P805,all,22,0.624,0.554,0.6535,1.83,98.65,135.5,230,186,32.8,0.769
I/LnJ,f,P806,all,19.5,1.116,0.4845,0.3705,1.975,115,160,298,366,27.75,1.835
I/LnJ,f,P807,all,20,1.0105,0.3715,0.5845,1.97,164,178,387.5,372.5,22.65,1.114
I/LnJ,f,P808,A,21,0.877,0.917,0.700,2.49,52.3,244,141,148,23.8,2.049
I/LnJ,f,P809,all,20.5,0.951,0.679,0.625,2.255,82.35,97.5,97.85,141.5,33.2,0.709
I/LnJ,m,P603,all,19,1.3,0.633,1.0455,2.975,75.85,104.65,66.35,97.7,28.1,3.226
I/LnJ,m,P604,all,20.5,0.8565,0.3885,0.6755,1.92,80,246.5,265.5,558,37.1,1.408
I/LnJ,m,P605,all,19.9,1.995,0.8805,0.7705,3.645,123.5,215.5,440.5,301.5,25.05,0.441
I/LnJ,m,P641,all,21.6,0.9255,0.318,0.412,1.655,62.5,116,179.5,304,23.1,1.125
I/LnJ,m,P642,all,20.3,1.152,0.902,0.4975,2.555,140.15,136,223.5,197.5,28.25,3.584
I/LnJ,m,P695,all,18.7,0.9075,0.708,0.4485,2.065,128,158,142.35,177.5,29.8,1.548
I/LnJ,m,P800,all,22.5,0.692,0.9495,0.8795,2.52,89,55.85,66,94.6,37.4,0.535
I/LnJ,m,P801,all,22.5,0.9285,1.165,0.793,2.885,77.2,70.15,130,230.5,31.35,2.747
I/LnJ,m,P802,all,28.5,0.9175,0.572,0.848,2.335,38.7,82,114.5,147.5,28.25,1.228
I/LnJ,m,P803,all,25.5,0.499,0.5305,0.4475,1.475,149.65,158.5,204,271,28.35,1.508
JF1/Ms,f,P715,all,13.2,1.29,1.075,1.185,3.545,59.65,49,50.85,41.8,44.15,0.431
JF1/Ms,f,P716,all,14.3,1.15,1.22,2.26,4.64,85.3,62.3,42,51.2,29.3,0.741
JF1/Ms,f,P717,all,12.9,1.185,0.4915,0.4985,2.175,39.85,183.5,324.5,149.5,27.5,0.599
JF1/Ms,f,P718,all,14.9,1.195,1.42,1.175,3.785,53.15,45,36.8,40.9,42.25,0.952
JF1/Ms,f,P719,all,14,1.051,0.8485,1.123,3.025,39.65,53.5,45.15,58.55,51.15,0.917
JF1/Ms,f,P720,all,13.7,0.8835,0.291,1.148,2.325,55.85,267.5,341.5,346.5,29.4,0.467
JF1/Ms,f,P725,all,12.3,0.9915,0.3315,0.3305,1.655,45.7,158.5,526,406.5,30.6,0.704
JF1/Ms,f,P726,all,12.1,0.942,0.6555,0.611,2.21,56.5,51.15,78.85,116,36,0.197
JF1/Ms,f,P727,all,13,0.759,0.825,0.6775,2.265,39.2,41.5,34,52.45,37.75,0.725
JF1/Ms,f,P769,all,14,0.655,0.2375,0.314,1.2065,49,76.5,193,260,28.7,1.161
JF1/Ms,m,P721,all,18.7,0.8855,0.224,0.26,1.37,61.85,303,732,567,27.65,1.138
JF1/Ms,m,P722,all,18.5,1.0225,1.306,0.9615,3.29,49.85,39.65,41,47.9,61.75,1.333
JF1/Ms,m,P723,all,15.3,1.165,1.2435,0.981,3.39,44.2,42.5,44.5,41.5,47.95,1.038
JF1/Ms,m,P724,A,16,0.649,0.158,0.227,1.03,52.3,222,525,807,22.7,0.752
JF1/Ms,m,P728,all,19.5,0.6935,0.281,0.3505,1.325,80,441,795.5,645,26.1,0.405
JF1/Ms,m,P729,all,16.2,0.839,0.797,1.415,3.055,58.8,55.7,51,51.35,52.75,1.408
JF1/Ms,m,P730,all,17.4,0.8615,1.215,1.145,3.225,39.35,44.85,43.5,47.65,41.05,0.926
JF1/Ms,m,P731,all,15.7,1.44,0.5125,1.109,3.055,55.15,64.8,116.5,214,30.85,0.182
JF1/Ms,m,P732,all,17.9,0.6905,0.3335,0.2935,1.315,64.5,177,258.5,334,28.5,0.578
JF1/Ms,m,P733,all,16.2,1.205,1.3,1.17,3.675,37.65,43.65,49.65,42.85,51.35,0.606
KK/HlJ,f,P519,all,21.8,0.801,0.278,0.235,1.31,109.65,403,542,873,22.4,0.709
KK/HlJ,f,P520,all,22.2,1.135,0.3815,0.294,1.815,67.7,550,506,707,27.15,0.662
KK/HlJ,f,P521,all,21.4,0.876,0.279,0.2865,1.44,98,362.5,596.5,494.5,29,0.376
KK/HlJ,f,P522,all,20.6,1.51,0.5955,0.8065,2.915,92.65,446.5,423.5,339.5,29.95,1.577
KK/HlJ,f,P523,all,22.4,0.782,0.285,0.1955,1.26,94.5,472.5,319.5,738.5,25.8,1.488
KK/HlJ,f,P524,all,23.6,0.8685,0.342,0.1945,1.405,111,232,420.5,755.5,26.4,0.714
KK/HlJ,f,P525,all,22,1.42,0.357,0.4695,2.25,82.65,469,758,660.5,29.6,0.787
KK/HlJ,f,P526,all,22.2,0.629,0.2675,0.1695,1.067,71,174,259.5,786.5,28.75,0.508
KK/HlJ,f,P527,all,20.8,0.6755,0.4735,0.3985,1.55,68.8,309,924,293,31.95,0.781
KK/HlJ,f,P528,all,25.7,0.904,0.418,0.372,1.695,83,362,327.5,410.5,29.5,2.000
KK/HlJ,m,P492,all,23.2,1.04,0.501,0.674,2.215,117.65,291.5,380.5,305.5,23.65,0.565
KK/HlJ,m,P493,all,21.5,1.42,0.2525,0.322,1.995,66.2,110.85,506.5,615,25.2,0.167
KK/HlJ,m,P494,all,23,0.763,0.3635,0.6235,1.75,65.35,125,478,373,28.2,0.649
KK/HlJ,m,P495,all,19.2,0.9175,0.477,0.5535,1.95,69.15,81.15,187.5,301.5,29.15,0.690
KK/HlJ,m,P496,all,19.3,0.8265,0.211,0.283,1.32,118,1168.5,1220.5,817.5,23.95,0.552
KK/HlJ,m,P497,all,19.5,1.0375,0.48,0.464,1.98,56.35,113,253.5,258.5,27,1.206
KK/HlJ,m,P498,all,26,0.758,0.3505,0.364,1.475,62.35,282,391.5,349.5,24.8,1.701
KK/HlJ,m,P499,all,19,1.09,0.576,0.6325,2.3,99.65,228.5,544.5,566,29.5,0.403
KK/HlJ,m,P500,all,24.4,0.7305,0.2985,0.291,1.32,58.35,346.5,334.5,905.5,22.95,1.060
KK/HlJ,m,P529,all,25.9,0.935,0.5065,0.3365,1.78,111.85,320.5,474.5,507,30.95,0.413
LP/J,f,P427,all,13,0.3975,0.3505,0.2035,0.953,51.7,76.15,178,265,23.95,0.457
LP/J,f,P428,all,13.1,0.369,0.394,0.29,1.0545,76.8,75.5,115.5,231.5,23.65,1.245
LP/J,f,P429,all,11.5,0.3725,0.2845,0.317,0.9725,56.35,37.7,55.65,218,23.85,0.617
LP/J,f,P430,all,13.5,0.862,0.617,0.4785,1.955,61.15,86.35,129.5,143.5,29.05,1.026
LP/J,f,P431,all,11.3,1.061,0.917,0.97,2.95,59.5,70.5,68.5,65.8,19.1,0.943
LP/J,f,P432,all,14.4,0.578,0.3085,0.2815,1.17,59.35,50.2,119,251,18.5,0.405
LP/J,f,P439,all,18.2,0.438,0.2545,0.232,0.925,59.85,78,155.35,503,21.5,1.669
LP/J,f,P440,all,17.9,0.5895,0.3395,0.301,1.2315,104.35,61,99.65,270.5,19.2,0.862
LP/J,f,P441,all,16.5,0.7075,0.3415,0.377,1.43,83.5,81.65,247,247,21.75,0.518
LP/J,f,P442,all,20.3,0.327,0.279,0.2105,0.817,77.5,68.2,81.5,295.5,21.1,0.862
LP/J,m,P433,all,16.4,0.548,0.5475,0.5025,1.595,69.85,89.35,94.65,242.5,23.2,0.741
LP/J,m,P434,all,18.8,0.6205,0.52,0.5935,1.735,88.65,78,71.35,150,23.45,1.661
LP/J,m,P435,all,15.3,1.0085,0.39,0.4815,1.88,59.5,78,75.85,147.5,20.85,0.362
LP/J,m,P436,all,19.9,0.7365,0.6355,0.664,2.035,74,58.85,60.85,124.5,22.25,0.671
LP/J,m,P437,all,18.6,0.831,0.431,0.4225,1.68,72.35,80.65,285.5,270,18.7,1.235
LP/J,m,P438,all,19.1,0.382,0.1765,0.182,0.741,72.65,100.65,450.5,530,20.15,1.012
LP/J,m,P443,all,21,0.4395,0.797,0.47,1.705,77,65.35,77.15,175,19.05,0.319
